# Base attributes derived from data provider resources (BAFU, Swisstopo, etc.).
gauge_id;country;gauging_st;water_body;type;id6;id12;shape_leng;shape_area;super_catc;sub_catchm;h1;h2;ext_ch;ext_de;ext_at;ext_li;ext_it;ext_fr;ext_r1981;ext_tabs;ext_srel;ext_sim;ext_r1992
2200;CH;Zweilütschinen;Weisse Lütschine;stream;WLuZwe;635310164550;59425.4329488;1.64924550294e8;0;1;242;243;100.0;0.0;0.0;0.0;0.0;0.0;98.23;98.23;98.23;98.23;98.23
2202;CH;Liestal;Ergolz;stream;ErgLie;622270259750;89137.6481256;2.6122316507e8;0;1;409;410;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2203;CH;Aigle;Grande Eau;stream;GrEAig;563960129860;62034.1361346;1.31590389587e8;0;1;599;600;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2205;CH;Untersiggenthal, Stilli;Aare;stream;AarUnt;659970263180;936319.758785;1.7553341522e10;1;1;198;395;99.35;0.0;0.0;0.0;0.0;0.65;99.9;99.9;99.9;99.84;99.9
2206;CH;Melera (Valle Morobbia);Melera;stream;MelMel;726988114670;4227.5502357;1.06652503268e6;0;1;516;517;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2207;CH;Luzern;Vierwaldstättersee;lake;ViSLuz;666950211915;318178.910931;2.24267008286e9;1;1;334;359;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2208;CH;Ligerz, klein Twann;Bielersee;lake;BiSLig;578320215670;751025.812374;8.23595431362e9;1;1;282;283;98.6;0.0;0.0;0.0;0.0;1.4;99.92;99.92;99.92;99.86;99.92
2209;CH;Zürich (Zürichhorn);Zürichsee;lake;ZuSZue;684000245475;300960.003955;1.82500552833e9;1;1;391;392;100.0;0.0;0.0;0.0;0.0;0.0;99.51;99.51;99.51;99.45;99.51
2210;CH;Ocourt;Doubs;stream;DouOco;572530244460;383463.067528;1.2754380064e9;1;0;522;555;30.63;0.0;0.0;0.0;0.0;69.37;55.59;55.59;53.63;100.0;100.0
2215;CH;Laupen;Saane;stream;SaaLau;584440195300;285093.906949;1.86178862473e9;1;1;264;277;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2217;CH;Chancy, Vers Vaux;Rhône;stream;RhoCVV;485440110040;798095.384932;1.04182706126e10;1;0;556;643;66.78;0.0;0.0;0.0;0.01;33.21;74.6;74.6;74.19;99.1;100.0
2219;CH;Oberried / Lenk;Simme;stream;SimObL;602630141660;29633.6102425;3.47450918695e7;0;1;258;259;100.0;0.0;0.0;0.0;0.0;0.0;94.98;94.98;94.98;94.98;94.98
